UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Hendika yo?,@hendika_1999,2021-11-20T13:41:12.000Z,"Hendika yo?
@hendika_1999
·
Nov 20","Mereka lupa satu hal penting saat Race 1 WSBK Mandalika, yakni ""Pawang Hujan""",,,,,['https://pbs.twimg.com/media/FEpB1GiVgAE4Zg_?format=jpg&name=small'],https://twitter.com/hendika_1999/status/1462053416977326080
Ayu Sari,@AyuSar6,2021-11-20T02:50:01.000Z,"Ayu Sari
@AyuSar6
·
Nov 20","Jokowi resmikan Sirkuit Mandalika, Percaya Kinerja Jokowi
1",,,,1,"['https://pbs.twimg.com/media/FEmsyBmVIAMgWBK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEmsyNyVkAAmG9t?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEmsycuVIAcx1Ax?format=jpg&name=360x360']",https://twitter.com/AyuSar6/status/1461889539077668865
memo N's,@memonsel,2021-11-20T15:31:00.000Z,"memo N's
@memonsel
·
Nov 20","Dari panggung Mandalika 
Salam,,, ""Anak Pulau"" Lombok
6",🤘 🤘,,,6,['https://pbs.twimg.com/ext_tw_video_thumb/1462080605210832899/pu/img/OR5lJQXMA5NuHxYr.jpg'],https://twitter.com/memonsel/status/1462081045952491523
Hill Pratama,@HillPratama,2021-11-20T08:13:04.000Z,"Hill Pratama
@HillPratama
·
Nov 20","Race 1 WSBK Mandalika saat ini ditunda akibat hujan deras

#IDNWorldSBK
2
17",,,2,17,"['https://pbs.twimg.com/media/FEn2uAtVkAIlkCu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEn2uWhVIAEaNmu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEn2uLfVIAAy6bE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEn2uknVIAEG19P?format=jpg&name=360x360']",https://twitter.com/HillPratama/status/1461970837687312392
InfoSeriyes,@InfoSeriyes,2021-11-20T12:01:08.000Z,"InfoSeriyes
@InfoSeriyes
·
Nov 20","Jokowi mengapresiasi Sirkuit Mandalika yang dibangun dalam waktu sembilan bulan di atas lahan sekitar  120 hektar #WorldSBKMandalika #BanggaPunyaMandalika
1
6",,,1,6,['https://pbs.twimg.com/media/FEoq7fQXwAUMLfL?format=jpg&name=small'],https://twitter.com/InfoSeriyes/status/1462028232790839303
Dewa Putu Ardita DP,@DP_ADP,2021-11-20T07:32:00.000Z,"Dewa Putu Ardita DP
@DP_ADP
·
Nov 20","Ini tim-tim yang di Mandalika nggak ada yang naruh bebek karet di depan garasi atau di pit lane apa ya? 
1
1",🤣 🤣,1,,1,['https://pbs.twimg.com/media/FEntJlqVEA0SiV6?format=jpg&name=small'],https://twitter.com/DP_ADP/status/1461960502293123075
Sιɳι Pαɳɠƙυ Oɱ,@jumprollus,2021-11-20T07:58:43.000Z,"Sιɳι Pαɳɠƙυ Oɱ
@jumprollus
·
Nov 20","Mandalika diguyur hujan!!
Si Toprak main siram aja
Si Scott malah telanjang dada
Jojo Rea mana nih? 
5",🤔,,,5,"['https://pbs.twimg.com/media/FEnzbxVVcAIbwsG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEnzcItUYAA9cdS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEnzb9VVkAMsHdD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEnzcTdUUAMNb-v?format=jpg&name=360x360']",https://twitter.com/jumprollus/status/1461967225171054595
Joy Patt,@JoyPattigana,2021-11-20T13:39:02.000Z,"Joy Patt
@JoyPattigana
·
Nov 20","Sirkuit Mandalika memberikan berkah tersendiri ga jd balapan tp para pembalap tetap bahagia dibawah guyuran hujan yg deres 

#MandalikaMendunia 
#WonderfulIndonesia
3",😎 😆,,,3,['https://pbs.twimg.com/ext_tw_video_thumb/1462052510466674688/pu/img/WHT8eUP62aTfycf2.jpg'],https://twitter.com/JoyPattigana/status/1462052868345655300
,@sejakz,2021-11-20T13:05:58.000Z,"@sejakz
·
Nov 20","Wah keren bgt loh ini, Pertamina Hadirkan Pebalap MotoGP Bo Bendsneyder ke Sirkuit Mandalika. 
Hebat betul kan ",💐 😉 😉,,,,"['https://pbs.twimg.com/media/FEo5wPqVEAAnHrI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEo5w1SUcAMDIR1?format=jpg&name=360x360']",https://twitter.com/sejakz/status/1462044548507463682
domikado sk,@grffn_ar,2021-11-20T10:44:51.000Z,"domikado sk
@grffn_ar
·
Nov 20","Genangan nya sampe segitu njir mandalika
1
1",,1,,1,['https://pbs.twimg.com/media/FEoZeKEUYAEIqkk?format=jpg&name=900x900'],https://twitter.com/grffn_ar/status/1462009036849565699
Gundu ireng.,@Kadal_yat,2021-11-20T20:23:36.000Z,"Gundu ireng.
@Kadal_yat
·
19h","Pembalap Pata Yamaha, Toprak Razgatlioglu, akan memiliki peluang pertama merebut gelar juara dunia WSBK 2021 pada balapan WSBK Mandalika 2021 hari ini, Sabtu (20/11).
1",,,,1,['https://pbs.twimg.com/media/FEqd71eVIAQgZ0s?format=jpg&name=360x360'],https://twitter.com/Kadal_yat/status/1462154683418480640
AbangAbeng,@be_abeng,2021-11-20T06:57:52.000Z,"AbangAbeng
@be_abeng
·
Nov 20","Hujan angin di Sirkuit Mandalika

Race 1 WSBK ditunda

#IDNWorldSBK
1
4",,,1,4,['https://pbs.twimg.com/media/FEnlWCwVUAQ1Yze?format=jpg&name=small'],https://twitter.com/be_abeng/status/1461951911217692675
Mimi Chimmy,@mimi_chimmy,2021-11-20T02:35:39.000Z,"Mimi Chimmy
@mimi_chimmy
·
Nov 20","Ikuti keseruan Mandalika Indonesian round 29 - 21 November 2021, Dengan Indihome.
#telkomindonesia.
3",,,,3,['https://pbs.twimg.com/media/FEmpgFOVEAYV2yZ?format=jpg&name=small'],https://twitter.com/mimi_chimmy/status/1461885925873438721
Anita Safitri,@Anita_Safit,2021-11-20T02:49:24.000Z,"Anita Safitri
@Anita_Safit
·
Nov 20","Jokowi resmikan Sirkuit Mandalika, Percaya Kinerja Jokowi",,,,,"['https://pbs.twimg.com/media/FEmspI2UUAEBqHc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEmspWiVQAMTvRU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEmspkeUYAE7OUg?format=jpg&name=360x360']",https://twitter.com/Anita_Safit/status/1461889386409172995
InfoSeriyes,@InfoSeriyes,2021-11-20T11:41:45.000Z,"InfoSeriyes
@InfoSeriyes
·
Nov 20","Mandalika masuk 5 destinasi wisata Indonesia super prioritas (DSP). Adanya sircuit international bisa jadi lokomotif Sport Tourism #WorldSBKMandalika #BanggaPunyaMandalika
7",,,,7,['https://pbs.twimg.com/media/FEomc0aX0AITGB3?format=jpg&name=small'],https://twitter.com/InfoSeriyes/status/1462023356740521987
"Joker, S.T, Emp, EL, N.dok, A.Sin",@Joker_Ulosowo,2021-11-20T14:20:58.000Z,"Joker, S.T, Emp, EL, N.dok, A.Sin
@Joker_Ulosowo
·
Nov 20","Jurus melawan pawang hujan Mandalika 
1",⚡ 💥 🌪 ⛈ 🌨 ⛈ 🌨 ⛈ 🌨,,1,,"['https://pbs.twimg.com/media/FEpK7jXUcAAwjoM?format=jpg&name=small', 'https://pbs.twimg.com/media/FEpK7vyVQAMgVVo?format=jpg&name=small', 'https://pbs.twimg.com/media/FEpK76DVkAUBnFZ?format=jpg&name=360x360']",https://twitter.com/Joker_Ulosowo/status/1462063424460898305
ｋｉｋｉ ｓｅｔｉａｗａｎ,@kiki_set_,2021-11-20T07:02:37.000Z,"ｋｉｋｉ ｓｅｔｉａｗａｎ
@kiki_set_
·
Nov 20","WorldSBK ,terhenti 
circuit Mandalika Hujan besar tergenang air ,gimna ini bisa tergenang gitu airnya
2
4
6",,2,4,6,"['https://pbs.twimg.com/media/FEnml7EVgAEXtNW?format=jpg&name=small', 'https://pbs.twimg.com/media/FEnmmVfVUAEB5B9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEnmmouVUAAB86-?format=jpg&name=360x360']",https://twitter.com/kiki_set_/status/1461953108527910921
dy,@dyzdy12soo,2021-11-20T13:52:40.000Z,"dy
@dyzdy12soo
·
Nov 20",Bentar masih tremor #ManuelGonzalez #MandalikaCircuit #mandalika,🍋 😭 😭 😭,,,,['https://pbs.twimg.com/media/FEpEc5wVcAUkYvw?format=jpg&name=small'],https://twitter.com/dyzdy12soo/status/1462056302348099587
KOMVNAL,@komvnal,2021-11-20T07:28:18.000Z,"KOMVNAL
@komvnal
·
Nov 20","Otw sirkuit mandalika
1
2",,1,,2,['https://pbs.twimg.com/media/FEnsdUFUYAMQl6Y?format=jpg&name=small'],https://twitter.com/komvnal/status/1461959569869971458
