UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Edhy Sun Doro,@edhysundoro,2021-06-20T13:42:36.000Z,"Edhy Sun Doro
@edhysundoro
·
Jun 20","Material Paddock Sirkuit Motogp Mandalika #MotoGP
youtube.com
SIRKUIT UPDATE MATERIAL PADDOCK SEGERA DIDISTRIBUSIKAN MENUJU SIRKUIT...
Beginilah aktivitas pengerjaan hari ini di sirkuit motogp mandalika, bagimana capaian dan tareget pembangunan sirkuit mandalika yang akan bakal menjadi tuan ...",,,,,[],https://twitter.com/edhysundoro/status/1406608423542661131
APK SCHOOLFESS ON PINNED,@schfess,2021-06-20T20:30:57.000Z,"APK SCHOOLFESS ON PINNED
@schfess
·
Jun 21","sch! UTUL UNS ada nilai minus ga?

✄・・・
 Trivia: Putri Mandalika menyeburkan diri ke laut dan menjadi cacing nyale (jenis polychaeta.)
3",📌 🧐,,,3,[],https://twitter.com/schfess/status/1406711189048946688
YODO - You Only Die Once,@BoykeCoki,2021-06-20T02:26:09.000Z,"YODO - You Only Die Once
@BoykeCoki
·
Jun 20","Dalam waktu dekat, perluasan layanan 5G #telkomsel5g akan dilakukan di 5 destinasi wisata prioritas: Danau Toba, Labuan Bajo, Candi Borobudur, Mandalika & Likupang. #jalanjalan #diindonesiaaja ",👍 🙏,,,,[],https://twitter.com/BoykeCoki/status/1406438191389831176
Arya Embun pagi,@arya_pagi,2021-06-20T00:40:04.000Z,"Arya Embun pagi
@arya_pagi
·
Jun 20","Mandalika İnternasional Street Circuit adalah bagian dari kawasan pariwisata yang di juluki Bali Baru.

#VaksinasiDemiPulihkanRI
#VaksinasiDemiPulihkanRI",,,,,['https://pbs.twimg.com/media/E4STzBsUYAYPqI6?format=jpg&name=small'],https://twitter.com/arya_pagi/status/1406411491746607106
Agro3bintang,@agro3bintang,2021-06-20T14:05:54.000Z,"Agro3bintang
@agro3bintang
·
Jun 20","Replying to 
@Excel_Dee
Masih tersisa 13 + 1 seri kalau jdi mandalika ..masih bisa jurdun kak
1
1",,1,,1,[],https://twitter.com/agro3bintang/status/1406614287339048966
Kompas.com,@kompascom,2021-06-20T07:14:08.000Z,"Kompas.com
@kompascom
·
Jun 20","Pebalap Pertamina Mandalika SAG Team, Bo Bendsneyder, akan start dari sepuluh besar pada Moto2 Jerman 2021.
otomotif.kompas.com
Pebalap Pertamina Mandalika Start dari 10 Besar Moto2 Jerman
Pebalap Pertamina Mandalika SAG Team, Bo Bendsneyder, akan start dari sepuluh besar pada Moto2 Jerman 2021.
1
4",,,1,4,[],https://twitter.com/kompascom/status/1406510664231755782
PRMNBogor,@prmn_bogor,2021-06-20T04:03:34.000Z,"PRMNBogor
@prmn_bogor
·
Jun 20","MotoGP di Mandalika Menjadi Harapan Pemulihan Wisata Lombok
bogor.pikiran-rakyat.com
MotoGP di Mandalika Menjadi Harapan Pemulihan Wisata Lombok - Pikiran Rakyat Bogor
MotoGP di sirkuit Mandalika jadi kesempatan bagi Lombok untuk memulihkan ekonomi lewat sektor wisata yang ambruk saat pandemi Covid-19.",,,,,[],https://twitter.com/prmn_bogor/status/1406462707021221889
fitrivirliani,@fitrivirliani,2021-06-20T12:31:15.000Z,"fitrivirliani
@fitrivirliani
·
Jun 20","Replying to 
@assyifarputri
Ayo tar nonton langsung di mandalika :’)
1",,1,,,[],https://twitter.com/fitrivirliani/status/1406590470201909256
medcom_id,@medcom_id,2021-06-20T03:03:00.000Z,"medcom_id
@medcom_id
·
Jun 20","Gubernur NTB Usulkan Perbanyak Penerbangan Langsung untuk MotoGP Mandalika
medcom.id
Gubernur NTB Usulkan Perbanyak Penerbangan Langsung untuk MotoGP Mandalika
Gubernur NTB Usulkan Perbanyak Penerbangan Langsung untuk MotoGP Mandalika",,,,,[],https://twitter.com/medcom_id/status/1406447464580747274
Kompas Otomotif,@KompasOtomotif,2021-06-20T07:06:01.000Z,"Kompas Otomotif
@KompasOtomotif
·
Jun 20","Pebalap Pertamina Mandalika Start dari 10 Besar Moto2 Jerman
otomotif.kompas.com
Pebalap Pertamina Mandalika Start dari 10 Besar Moto2 Jerman
Pebalap Pertamina Mandalika SAG Team, Bo Bendsneyder, akan start dari sepuluh besar pada Moto2 Jerman 2021.",,,,,[],https://twitter.com/KompasOtomotif/status/1406508622767529988
WongCilikButuhMakan,@AhmadMashani,2021-06-20T23:02:09.000Z,"WongCilikButuhMakan
@AhmadMashani
·
Jun 21","Replying to 
@dedimahardi
 and 
@FerdinandHaean3
Orang ngebangun untuk jakarta dinyinyirin,
Masih mending stadion ini sunyi senyap dan sudah hampir kelar, noh liat circuit mandalika yang dibuat pempus masih gitu2 aja, pdhal cuma ngaspal jalan doank, ga ada suseh suseh nye, tp ga jadi2 bertahun tahun.",,,,,[],https://twitter.com/AhmadMashani/status/1406749241624563712
MENTARİ JİNGGA,@MasAgoe32867695,2021-06-20T00:40:37.000Z,"MENTARİ JİNGGA
@MasAgoe32867695
·
Jun 20","Mandalika İnternasional Street Circuit adalah bagian dari kawasan pariwisata yang di juluki Bali Baru.

#VaksinasiDemiPulihkanRI
#VaksinasiDemiPulihkanRI",,,,,['https://pbs.twimg.com/media/E4ST7IwUYAIxbJ-?format=jpg&name=small'],https://twitter.com/MasAgoe32867695/status/1406411631664373761
